subject,group,context,time,# beats,RR,SDNN,RMSSD,notes
20161221-rata,ctrl,base,17:53.40,81,364.006,1.290,1.390,
20161221-rata,ctrl,post,49:37.72,80,391,7.497,9.276,
20161221-ratb,ctrl,base,10:06.94,80,259.5,3.282,0.978,
20161221-ratb,ctrl,post,43:43.42,80,383.906,14.184,19.361,
20161222-rata,mehp,base,08:11.25,80,255.319,1.372,1.478,
20161222-rata,mehp,post,47:25.89,80,266.269,2.934,3.401,
20161222-ratb,mehp,base,10:15.48,80,301.331,7.598,7.986,
20170113-rata,mehp,base,32:12.06,80,386.075,7.861,12.285,
20170113-rata,mehp,post,01:13:21.49,80,407.231,2.624,2.955,
20170127-rata,ctrl,base,18:11.73,80,308.625,1.256,1.603,file originally named 20170117-rata
20170127-rata,ctrl,post,52:41.47,80,258.712,3.969,4.454,
20170217-rata,ctrl,base,39:49.55,80,336.25,3.804,0.632,
20170217-ratb,mehp,post,47:31.99,78,374.192,13.029,6.382,
20170301-rata,ctrl,base,34:26.75,80,498.903,10.999,7.042,
20170301-rata,ctrl,post,50:13.86,80,380.744,6.803,9.212,
20170310-rata,mehp,base,05:48.36,80,340.738,2.908,3.544,
20170310-rata,mehp,post,40:42.66,80,511.837,17.684,23.076,
20180522-rata,mehp,base,40:54.25,80,323.262,4.233,5.149,
20180522-rata,mehp,post,02:42.18,80,354.115,9.260,11.641,
20180616-ratb,mehp,base,25:35.74,74,262.627,0.502,0.525,VF after mehp infusion
20180619-rata,ctrl,base,27:13.88,80,303.825,0.751,1.001,
20180619-rata,ctrl,post,01:11.40,80,278.469,3.099,1.719,
20180720-rata,ctrl,base,26:08.22,80,430.365,15.050,4.630,
20180720-rata,ctrl,post,01:11.41,80,445.453,1.042,0.591,
20180725-rata,ctrl,base,12:44.40,80,306.43,3.933,5.216,
20180725-rata,ctrl,post,36:29.75,80,353.298,4.126,7.116,
20180910-rata,mehp,base,24:24.09,80,199.05,3.250,5.626,
20180910-rata,mehp,post,01:16:51.00,80,219.945,2.971,4.849,
20180925-rata,mehp,base,25:17.59,80,254.71,10.400,14.743,
