subject,group,base,post,valid
20171012_A,control,90,100,TRUE
20171013_B,control,110,120,TRUE
20171024_B,control,110,110,TRUE
20180824_A,control,,117,TRUE
20180619_B,control,,110,TRUE
20180619_A,control,181,176,FALSE
20180725_A,control,,118,TRUE
20171024_b,control,90,100,TRUE
20180328_b,control,,80,TRUE
20171024_A,MEHP,100,110,TRUE
20180522_A,MEHP,124,135,TRUE
20180720_A,MEHP,120,153,TRUE
20180806_A,MEHP,133,157,TRUE
20171003_a,MEHP,90,110,TRUE
20171013_a,MEHP,90,110,TRUE
20171027,MEHP,,180,TRUE
20171113_A,MEHP,,220,TRUE
